# NEST version: 3.6.0-post0.dev0
# RecordingBackendASCII version: 2
sender	time_ms	V_m	I_tot	I_exc	I_inh	I_noise
10	175.000	-0.158	-0.514	0.000	-36.043	-15.391
26	175.000	-0.531	-0.621	0.000	-38.449	-23.674
42	175.000	-0.498	-0.576	0.000	-36.044	-21.525
58	175.000	-0.409	-0.119	0.000	-36.044	24.127
74	175.000	-0.461	-0.217	0.000	-36.045	14.325
90	175.000	-0.453	-0.136	0.000	-37.662	24.102
106	175.000	-0.419	-0.569	0.000	-36.045	-20.896
122	175.000	-0.455	-0.251	0.000	-36.045	10.955
138	175.000	-0.460	-0.296	0.000	-37.662	8.086
154	175.000	-0.299	-0.256	0.000	-36.046	10.461
170	175.000	-0.451	-0.223	0.000	-36.045	13.712
186	175.000	-0.245	-0.182	0.000	-36.045	17.812
202	175.000	-0.372	-0.276	0.000	-36.046	8.434
218	175.000	-0.392	-0.206	0.000	-36.045	15.431
234	175.000	-0.452	-0.255	0.000	-36.045	10.522
250	175.000	0.030	-0.135	0.000	-36.045	22.553
266	175.000	-0.417	-0.127	0.000	-36.045	23.337
282	175.000	-0.479	-0.599	0.000	-36.045	-23.886
298	175.000	-0.472	-0.312	0.000	-36.046	4.818
314	175.000	-0.393	-0.272	0.000	-36.045	8.831
330	175.000	-0.428	-0.512	0.000	-36.045	-15.148
346	175.000	-0.448	-0.477	0.000	-36.045	-11.670
362	175.000	-0.453	-0.279	0.000	-36.046	8.157
378	175.000	-0.462	-0.327	0.000	-36.046	3.369
394	175.000	-0.462	-0.455	0.000	-36.046	-9.447
410	175.000	-0.403	-0.496	0.000	-36.046	-13.531
426	175.000	-0.503	-0.311	0.000	-36.045	4.969
442	175.000	-0.389	-0.586	0.000	-36.045	-22.564
458	175.000	-0.414	-0.387	0.000	-36.046	-2.695
474	175.000	-0.473	-0.378	0.000	-36.045	-1.785
490	175.000	-0.475	-0.139	0.000	-36.044	22.145
506	175.000	0.070	4.883	0.000	-36.045	24.352
522	175.000	-0.400	-0.134	0.000	-36.045	22.613
538	175.000	-0.431	-0.267	0.000	-36.044	9.362
554	175.000	-0.394	-0.294	0.000	-36.046	6.684
570	175.000	-0.449	-0.382	0.000	-36.045	-2.133
586	175.000	-0.438	-0.602	0.000	-36.043	-24.167
602	175.000	-0.513	-0.459	0.000	-39.125	-6.783
618	175.000	-0.381	-0.149	0.000	-36.044	21.109
1258	175.000	-0.284	-0.160	0.000	-24.939	8.970
1274	175.000	-0.341	-0.127	0.000	-24.939	12.249
1290	175.000	-0.296	-0.325	0.000	-24.938	-7.612
1306	175.000	-0.338	-0.335	0.000	-24.939	-8.599
1322	175.000	-0.370	-0.141	0.000	-24.938	10.789
1338	175.000	-0.249	-0.150	0.000	-24.938	9.900
1354	175.000	-0.319	-0.249	0.000	-24.939	0.042
1370	175.000	-0.332	-0.217	0.000	-24.938	3.287
1386	175.000	-0.333	-0.239	0.000	-24.939	1.023
1402	175.000	-0.283	-0.093	0.000	-24.939	15.592
1418	175.000	-0.295	-0.157	0.000	-24.939	9.246
1434	175.000	-0.279	-0.076	0.000	-24.940	17.385
1450	175.000	-0.322	-0.148	0.000	-24.940	10.109
1466	175.000	-0.357	-0.447	0.000	-24.939	-19.790
