# NEST version: 3.6.0-post0.dev0
# RecordingBackendASCII version: 2
sender	time_ms	V_m	I_tot	I_exc	I_inh	I_noise
6	1434.000	-0.651	-0.736	0.000	-83.140	9.554
22	1434.000	-0.990	-1.062	0.000	-81.359	-24.857
38	1434.000	-0.971	-0.661	0.000	-81.405	15.316
54	1434.000	-1.013	-0.658	0.000	-83.451	17.618
70	1434.000	-1.025	-0.807	0.000	-81.359	0.612
86	1434.000	-0.970	-0.750	0.000	-81.405	6.440
102	1434.000	-0.936	-0.662	0.000	-81.383	15.205
118	1434.000	-1.005	-1.015	0.000	-81.381	-20.121
134	1434.000	-1.052	-0.801	0.000	-81.385	1.330
150	1434.000	-1.047	-0.966	0.000	-81.360	-15.262
166	1434.000	-1.031	-0.860	0.000	-81.359	-4.664
182	1434.000	-1.035	-0.956	0.000	-82.348	-13.208
198	1434.000	-1.023	-0.707	0.000	-83.159	12.475
214	1434.000	-1.017	-0.746	0.000	-82.131	7.517
230	1434.000	-0.995	-0.630	0.000	-83.208	20.181
246	1434.000	-1.057	-1.034	0.000	-82.022	-21.375
262	1434.000	-1.080	-0.717	0.000	-83.489	11.774
278	1434.000	-0.726	-0.800	0.000	-81.378	1.371
294	1434.000	-0.845	-0.793	0.000	-81.359	2.021
310	1434.000	-0.970	-0.574	0.000	-82.068	24.638
326	1434.000	-1.001	-0.574	0.000	-82.207	24.816
342	1434.000	-1.013	-0.834	0.000	-83.708	0.309
358	1434.000	-1.002	-0.891	0.000	-81.359	-7.723
374	1434.000	-0.941	-0.764	0.000	-81.394	4.977
390	1434.000	-1.074	-0.711	0.000	-84.992	13.848
406	1434.000	-0.907	-0.641	0.000	-81.412	17.322
422	1434.000	-1.047	-0.872	0.000	-81.360	-5.818
438	1434.000	-0.928	-0.940	0.000	-82.474	-11.556
454	1434.000	-1.050	-0.942	0.000	-82.424	-11.796
470	1434.000	-1.048	-1.009	0.000	-81.359	-19.570
486	1434.000	-1.083	-0.646	0.000	-84.186	19.597
502	1434.000	-1.029	-0.587	0.000	-82.341	23.620
518	1434.000	-1.015	-0.726	0.000	-83.969	11.320
534	1434.000	-1.034	-0.835	0.000	-84.173	0.695
550	1434.000	-1.034	-0.738	0.000	-81.359	7.564
566	1434.000	-1.036	-1.030	0.000	-81.405	-21.603
582	1434.000	-0.944	-0.711	0.000	-83.460	12.406
598	1434.000	-1.055	-0.784	0.000	-81.376	2.937
614	1434.000	-1.044	-0.996	0.000	-81.399	-18.177
1254	1434.000	-0.259	-0.358	0.000	-21.332	-14.490
1270	1434.000	-0.325	-0.399	0.000	-21.243	-18.617
1286	1434.000	-0.218	-0.046	0.000	-21.504	16.870
1302	1434.000	-0.246	-0.026	0.000	-21.241	18.623
1318	1434.000	-0.213	-0.353	0.000	-21.245	-14.089
1334	1434.000	-0.313	-0.094	0.000	-21.357	11.914
1350	1434.000	-0.291	-0.049	0.000	-21.243	16.315
1366	1434.000	-0.218	-0.091	0.000	-21.338	12.206
1382	1434.000	-0.293	-0.319	0.000	-21.289	-10.651
1398	1434.000	-0.209	-0.059	0.000	-21.247	15.301
1414	1434.000	-0.282	-0.249	0.000	-21.472	-3.469
1430	1434.000	-0.338	-0.293	0.000	-21.703	-7.580
1446	1434.000	-0.208	-0.397	0.000	-21.246	-18.487
1462	1434.000	-0.264	-0.235	0.000	-21.895	-1.651
1478	1434.000	-0.291	-0.390	0.000	-21.412	-17.615
1494	1434.000	-0.241	-0.172	0.000	-21.289	4.062
