# NEST version: 3.6.0-post0.dev0
# RecordingBackendASCII version: 2
sender	time_ms	V_m	I_tot	I_exc	I_inh	I_noise
3	126.000	-1.004	-0.781	0.000	-78.868	0.719
19	126.000	-0.508	4.153	1.000	-78.808	-5.874
35	126.000	-1.025	-0.871	0.000	-80.761	-6.306
51	126.000	-0.970	-0.765	0.000	-78.831	2.328
67	126.000	-1.040	-0.722	0.000	-80.769	8.560
83	126.000	-1.011	-0.738	0.000	-80.538	6.737
99	126.000	-1.003	-0.863	0.000	-78.815	-7.459
115	126.000	-0.964	-0.604	0.000	-78.808	18.413
131	126.000	-0.945	-0.735	0.000	-78.808	5.322
147	126.000	-1.020	-0.944	0.000	-79.767	-14.614
163	126.000	-1.014	-0.942	0.000	-79.562	-14.646
179	126.000	-1.087	-1.073	0.000	-83.252	-24.017
195	126.000	-0.972	-0.950	0.000	-78.851	-16.134
211	126.000	-1.039	-0.684	0.000	-81.028	12.603
227	126.000	-1.016	-0.914	0.000	-80.761	-10.615
243	126.000	-0.994	-0.925	0.000	-78.851	-13.628
259	126.000	-0.965	-0.562	0.000	-78.850	22.643
275	126.000	-0.983	-0.758	0.000	-79.550	3.724
291	126.000	-1.061	-0.713	0.000	-80.774	9.509
307	126.000	-1.003	-0.654	0.000	-78.873	13.455
323	126.000	-1.033	-1.004	0.000	-80.442	-19.964
339	126.000	-1.025	-0.757	0.000	-80.652	4.907
355	126.000	-0.977	-0.604	0.000	-78.825	18.394
371	126.000	-0.551	-0.608	0.000	-78.816	18.002
387	126.000	-0.624	-0.639	0.000	-78.808	14.870
403	126.000	-0.950	-0.854	0.000	-78.860	-6.540
419	126.000	-0.964	-0.560	0.000	-80.388	24.343
435	126.000	-1.075	-0.874	0.000	-79.527	-7.874
451	126.000	-0.983	-0.619	0.000	-80.364	18.488
467	126.000	-0.951	-0.738	0.000	-78.824	5.032
483	126.000	-1.001	-0.614	0.000	-79.730	18.294
499	126.000	-1.010	-0.791	0.000	-78.816	-0.249
515	126.000	-0.975	-1.019	0.000	-78.808	-23.101
531	126.000	-0.977	-0.916	0.000	-78.808	-12.775
547	126.000	-0.998	-0.755	0.000	-79.749	4.283
563	126.000	-1.014	-0.933	0.000	-79.562	-13.702
579	126.000	-1.017	-0.791	0.000	-78.808	-0.245
595	126.000	-1.017	-0.854	0.000	-78.808	-6.612
611	126.000	-0.983	-0.874	0.000	-78.808	-8.636
627	126.000	-0.946	-0.941	0.000	-78.808	-15.303
643	126.000	-0.954	-1.033	0.000	-78.808	-24.509
659	126.000	-0.975	-0.731	0.000	-78.834	5.758
675	126.000	-1.040	-0.930	0.000	-79.575	-13.467
691	126.000	-0.961	-0.746	0.000	-78.808	4.174
707	126.000	-0.996	-0.796	0.000	-78.824	-0.767
723	126.000	-0.959	-0.984	0.000	-78.863	-19.521
739	126.000	-1.018	-1.037	0.000	-78.808	-24.863
755	126.000	-0.966	-0.689	0.000	-78.808	9.888
771	126.000	-1.009	-1.017	0.000	-78.808	-22.859
787	126.000	-0.961	-0.730	0.000	-78.808	5.787
803	126.000	-0.979	-0.809	0.000	-78.808	-2.056
819	126.000	-1.021	-1.013	0.000	-78.808	-22.446
835	126.000	-0.975	-0.882	0.000	-78.808	-9.416
851	126.000	-0.965	-0.660	0.000	-78.808	12.792
867	126.000	-0.966	-0.776	0.000	-78.808	1.230
883	126.000	-0.800	-0.902	0.000	-78.808	-11.353
899	126.000	-0.950	-0.824	0.000	-78.808	-3.582
915	126.000	-0.980	-0.886	0.000	-78.808	-9.757
931	126.000	-1.029	-0.812	0.000	-78.808	-2.360
947	126.000	-0.980	-0.646	0.000	-78.808	14.248
963	126.000	-0.950	-0.643	0.000	-78.808	14.549
979	126.000	-0.959	-0.589	0.000	-78.808	19.920
995	126.000	-0.790	-0.559	0.000	-78.808	22.932
1011	126.000	-0.964	-0.732	0.000	-78.808	5.635
1027	126.000	-0.920	-0.874	0.000	-78.808	-8.620
1043	126.000	-0.759	-1.010	0.000	-78.808	-22.202
1059	126.000	-0.976	-0.781	0.000	-78.808	0.727
1075	126.000	-0.981	-0.806	0.000	-78.808	-1.743
1091	126.000	-1.024	-0.998	0.000	-78.808	-21.032
1107	126.000	-0.965	-0.826	0.000	-78.808	-3.802
1123	126.000	-0.971	-1.000	0.000	-78.808	-21.215
1139	126.000	-0.943	-0.729	0.000	-78.808	5.955
1155	126.000	-0.822	-0.754	0.000	-78.808	3.387
1171	126.000	-0.976	-0.626	0.000	-78.808	16.221
1187	126.000	-0.964	-0.839	0.000	-78.808	-5.132
