# NEST version: 3.6.0-post0.dev0
# RecordingBackendASCII version: 2
sender	time_ms
298	126.981
100218	126.983
120410	126.981
220154	126.981
298	127.465
100218	127.467
120410	127.465
220154	127.465
298	127.949
100218	127.951
120410	127.949
220154	127.949
298	128.434
100218	128.436
120410	128.433
220154	128.434
298	128.918
100218	128.920
120410	128.918
220154	128.918
298	129.403
100218	129.405
120410	129.403
220154	129.403
298	129.888
29626	129.983
100218	129.890
120410	129.888
220154	129.888
298	130.373
80538	130.483
100218	130.375
120410	130.373
180634	130.483
180794	130.483
209434	130.483
220154	130.373
298	130.859
120410	130.859
140810	130.983
220154	130.859
20426	131.479
21002	131.483
29626	131.968
80538	131.968
89546	131.983
160298	131.983
120410	132.349
100218	132.869
220154	132.851
